askvalue,date
3.1281,2015-06-25
3.1282,2015-06-26
3.1195,2015-06-29
3.1089,2015-06-30
3.145,2015-07-01
3.096,2015-07-02
3.1393,2015-07-03
3.1421,2015-07-06
3.1825,2015-07-07
3.2338,2015-07-08
3.1612,2015-07-10
3.1308,2015-07-13
3.1385,2015-07-14
3.136,2015-07-15
3.1582,2015-07-16
3.1939,2015-07-17
3.2006,2015-07-20
3.1732,2015-07-21
3.2257,2015-07-22
3.2958,2015-07-23
3.347,2015-07-24
3.364,2015-07-27
3.369,2015-07-28
3.3293,2015-07-29
3.371,2015-07-30
3.4247,2015-07-31
3.4545,2015-08-03
3.4642,2015-08-04
3.489,2015-08-05
3.5374,2015-08-06
3.5081,2015-08-07
3.4429,2015-08-10
3.4978,2015-08-11
3.4744,2015-08-12
3.5137,2015-08-13
3.4831,2015-08-14
3.4823,2015-08-17
3.466,2015-08-18
3.4877,2015-08-19
3.4596,2015-08-20
3.496,2015-08-21
3.5525,2015-08-24
3.6084,2015-08-25
3.6014,2015-08-26
3.5528,2015-08-27
3.5853,2015-08-28
3.6271,2015-08-31
3.688,2015-09-01
3.7598,2015-09-02
3.7598,2015-09-03
3.8605,2015-09-04
3.819,2015-09-08
3.7994,2015-09-09
3.8504,2015-09-10
3.8771,2015-09-11
3.8138,2015-09-14
3.8626,2015-09-15
3.8341,2015-09-16
3.8822,2015-09-17
3.9582,2015-09-18
3.9809,2015-09-21
4.0538,2015-09-22
4.1461,2015-09-23
3.9914,2015-09-24
3.9757,2015-09-25
4.1095,2015-09-28
4.0591,2015-09-29
3.9655,2015-09-30
4.0024,2015-10-01
3.9457,2015-10-02
3.9008,2015-10-05
3.8429,2015-10-06
3.8771,2015-10-07
3.7931,2015-10-08
3.7588,2015-10-09
3.8935,2015-10-13
3.8126,2015-10-14
3.8005,2015-10-15
3.8735,2015-10-16
3.8768,2015-10-19
3.9028,2015-10-20
3.943,2015-10-21
3.9075,2015-10-22
3.8906,2015-10-23
3.9167,2015-10-26
3.8969,2015-10-27
3.9201,2015-10-28
3.8541,2015-10-29
3.8628,2015-10-30
3.7705,2015-11-03
3.7967,2015-11-04
3.7765,2015-11-05
3.7625,2015-11-06
3.7997,2015-11-09
3.7915,2015-11-10
3.7695,2015-11-11
3.7672,2015-11-12
3.8331,2015-11-13
3.8185,2015-11-16
3.817,2015-11-17
3.79,2015-11-18
3.729,2015-11-19
3.697,2015-11-20
3.7353,2015-11-23
3.704,2015-11-24
3.7506,2015-11-25
3.7465,2015-11-26
3.8234,2015-11-27
3.8865,2015-11-30
3.8549,2015-12-01
3.8355,2015-12-02
3.7488,2015-12-03
3.739,2015-12-04
3.7589,2015-12-07
3.81,2015-12-08
3.737,2015-12-09
3.8005,2015-12-10
3.8738,2015-12-11
3.8862,2015-12-14
3.8765,2015-12-15
3.9247,2015-12-16
3.8893,2015-12-17
3.9468,2015-12-18
4.0228,2015-12-21
3.9885,2015-12-22
3.9523,2015-12-23
3.9428,2015-12-24
3.86,2015-12-28
3.8769,2015-12-29
3.948,2015-12-30
4.0339,2016-01-04
3.9933,2016-01-05
4.0214,2016-01-06
4.0525,2016-01-07
4.0403,2016-01-08
4.0517,2016-01-11
4.0452,2016-01-12
4.0109,2016-01-13
3.9983,2016-01-14
4.0458,2016-01-15
4.0342,2016-01-18
4.0549,2016-01-19
4.105,2016-01-20
4.1655,2016-01-21
4.1105,2016-01-22
4.102,2016-01-25
4.07,2016-01-26
4.0859,2016-01-27
4.08,2016-01-28
4.0243,2016-01-29
3.9591,2016-02-01
3.986,2016-02-02
3.9181,2016-02-03
3.8941,2016-02-04
3.91,2016-02-05
3.9355,2016-02-10
3.9837,2016-02-11
3.9895,2016-02-12
3.9963,2016-02-15
4.0705,2016-02-16
3.994,2016-02-17
4.049,2016-02-18
4.0227,2016-02-19
3.95,2016-02-22
3.9627,2016-02-23
3.9568,2016-02-24
3.95,2016-02-25
3.9976,2016-02-26
4.0035,2016-02-29
3.9411,2016-03-01
3.8877,2016-03-02
3.8022,2016-03-03
3.7607,2016-03-04
3.7937,2016-03-07
3.7389,2016-03-08
3.697,2016-03-09
3.6414,2016-03-10
3.591,2016-03-11
3.6524,2016-03-14
3.763,2016-03-15
3.7391,2016-03-16
3.6533,2016-03-17
3.5817,2016-03-18
3.6103,2016-03-21
3.6008,2016-03-22
3.6768,2016-03-23
